CATALUNYA;CATALUNYA;2020-08-10;2020-08-16;Si;;;230.7358;149;5797.8196;3744;4.7289;43;1;25
CATALUNYA;CATALUNYA;2020-08-09;2020-08-15;Si;;;226.0901;146;5687.8716;3673;4.7588;44;2;29
CATALUNYA;CATALUNYA;2020-08-08;2020-08-14;Si;;;226.0901;146;5937.1902;3834;4.6904;44;3;29
CATALUNYA;CATALUNYA;2020-08-07;2020-08-13;Si;;;315.9068;204;6009.9727;3881;5.9611;47;3;23
CATALUNYA;CATALUNYA;2020-08-06;2020-08-12;Si;;;353.0723;228;5938.7388;3835;6.7240;43;2;23
CATALUNYA;CATALUNYA;2020-08-05;2020-08-11;Si;;;326.7467;211;5954.2244;3845;6.0615;42;3;23
CATALUNYA;CATALUNYA;2020-08-04;2020-08-10;Si;;;297.3240;192;5985.1957;3865;5.6895;37;3;23
CATALUNYA;CATALUNYA;2020-08-03;2020-08-09;Si;;;283.3870;183;6084.3037;3929;5.5185;40;3;26
CATALUNYA;CATALUNYA;2020-08-02;2020-08-08;Si;;;286.4841;185;6293.3597;4064;5.4236;41;2;25
CATALUNYA;CATALUNYA;2020-08-01;2020-08-07;Si;;;289.5812;187;6455.9588;4169;5.2662;46;1;26
CATALUNYA;CATALUNYA;2020-07-31;2020-08-06;Si;;;213.7016;138;6579.8439;4249;3.8688;47;1;28
CATALUNYA;CATALUNYA;2020-07-30;2020-08-05;Si;;;202.8617;131;6445.1189;4162;4.1572;51;1;29
CATALUNYA;CATALUNYA;2020-07-29;2020-08-04;Si;;;269.4499;174;6406.4048;4137;5.3500;57;0;28
CATALUNYA;CATALUNYA;2020-07-28;2020-08-03;Si;;;301.9697;195;6339.8166;4094;5.6834;60;0;27
CATALUNYA;CATALUNYA;2020-07-27;2020-08-02;Si;;;298.8726;193;6078.1095;3925;5.6879;60;0;27
CATALUNYA;CATALUNYA;2020-07-26;2020-08-01;Si;;;298.8726;193;6087.4008;3931;5.7331;56;0;28
CATALUNYA;CATALUNYA;2020-07-25;2020-07-31;Si;;;306.6154;198;5988.2928;3867;5.8220;60;0;28
CATALUNYA;CATALUNYA;2020-07-24;2020-07-30;Si;;;315.9068;204;5873.6992;3793;6.0994;70;0;27
CATALUNYA;CATALUNYA;2020-07-23;2020-07-29;Si;;;280.2898;181;5934.0931;3832;5.1182;74;0;25
CATALUNYA;CATALUNYA;2020-07-22;2020-07-28;Si;;;221.4444;143;6045.5896;3904;3.8218;63;0;24
CATALUNYA;CATALUNYA;2020-07-21;2020-07-27;Si;;;157.9534;102;5926.3503;3827;2.8457;62;0;21
CATALUNYA;CATALUNYA;2020-07-20;2020-07-26;Si;;;176.5361;114;6084.3037;3929;3.2501;57;2;19
CATALUNYA;CATALUNYA;2020-07-19;2020-07-25;Si;;;190.4732;123;6192.7031;3999;3.3978;68;2;13
CATALUNYA;CATALUNYA;2020-07-18;2020-07-24;Si;;;229.1873;148;6203.5431;4006;4.6185;61;2;11
CATALUNYA;CATALUNYA;2020-07-17;2020-07-23;Si;;;219.8959;142;6127.6635;3957;4.7055;48;2;9
CATALUNYA;CATALUNYA;2020-07-16;2020-07-22;Si;;;233.8330;151;5852.0193;3779;4.7426;42;2;8
CATALUNYA;CATALUNYA;2020-07-15;2020-07-21;Si;;;289.5812;187;5562.4380;3592;6.3457;44;2;9
CATALUNYA;CATALUNYA;2020-07-14;2020-07-20;Si;;;288.0327;186;5508.2383;3557;6.3721;44;2;9
CATALUNYA;CATALUNYA;2020-07-13;2020-07-19;Si;;;266.3528;172;5514.4326;3561;5.8879;44;0;7
CATALUNYA;CATALUNYA;2020-07-12;2020-07-18;Si;;;253.9643;164;5427.7130;3505;5.9107;34;0;9
CATALUNYA;CATALUNYA;2020-07-11;2020-07-17;Si;;;204.4103;132;5079.2864;3280;4.6303;32;0;9
CATALUNYA;CATALUNYA;2020-07-10;2020-07-16;Si;;;195.1189;126;4980.1783;3216;4.4034;31;0;9
CATALUNYA;CATALUNYA;2020-07-09;2020-07-15;Si;;;187.3761;121;5240.3369;3384;4.4319;24;0;10
CATALUNYA;CATALUNYA;2020-07-08;2020-07-14;Si;;;136.2735;88;5059.1551;3267;3.1239;23;0;9
CATALUNYA;CATALUNYA;2020-07-07;2020-07-13;Si;;;165.6962;107;4967.7898;3208;2.9968;24;1;10
CATALUNYA;CATALUNYA;2020-07-06;2020-07-12;Si;;;150.2106;97;4645.6888;3000;2.8616;28;1;12
CATALUNYA;CATALUNYA;2020-07-05;2020-07-11;Si;;;140.9192;91;4391.7244;2836;2.5082;28;1;10
CATALUNYA;CATALUNYA;2020-07-04;2020-07-10;Si;;;148.6620;96;4295.7135;2774;2.9114;29;1;9
CATALUNYA;CATALUNYA;2020-07-03;2020-07-09;Si;;;133.1764;86;4010.7779;2590;2.7151;26;1;11
CATALUNYA;CATALUNYA;2020-07-02;2020-07-08;Si;;;116.1422;75;3603.5059;2327;2.4116;29;1;11
CATALUNYA;CATALUNYA;2020-07-01;2020-07-07;Si;;;83.6223;54;3416.1298;2206;1.6027;28;1;10
CATALUNYA;CATALUNYA;2020-06-30;2020-07-06;Si;;;40.2626;26;3284.5019;2121;1.4572;26;0;10
CATALUNYA;CATALUNYA;2020-06-29;2020-07-05;Si;;;37.1655;24;3134.2913;2024;1.4916;24;0;10
CATALUNYA;CATALUNYA;2020-06-28;2020-07-04;Si;;;37.1655;24;3185.3939;2057;1.4706;23;0;11
CATALUNYA;CATALUNYA;2020-06-27;2020-07-03;Si;;;24.7770;16;3211.7195;2074;0.9622;23;0;11
CATALUNYA;CATALUNYA;2020-06-26;2020-07-02;Si;;;38.7140;25;3397.5470;2194;1.4484;26;0;11
CATALUNYA;CATALUNYA;2020-06-25;2020-07-01;Si;;;35.6169;23;3200.8795;2067;1.4221;26;0;11
CATALUNYA;CATALUNYA;2020-06-24;2020-06-30;Si;;;35.6169;23;2830.7730;1828;1.7024;28;0;12
CATALUNYA;CATALUNYA;2020-06-23;2020-06-29;Si;;;43.3597;28;2819.9331;1821;2.1705;29;0;11
CATALUNYA;CATALUNYA;2020-06-22;2020-06-28;Si;;;43.3597;28;2875.6813;1857;2.1756;29;0;11
CATALUNYA;CATALUNYA;2020-06-21;2020-06-27;Si;;;43.3597;28;2819.9331;1821;2.2205;29;0;11
CATALUNYA;CATALUNYA;2020-06-20;2020-06-26;Si;;;43.3597;28;2818.3845;1820;2.2013;32;0;14
CATALUNYA;CATALUNYA;2020-06-19;2020-06-25;Si;;;32.5198;21;2756.4420;1780;1.6611;34;0;13
CATALUNYA;CATALUNYA;2020-06-18;2020-06-24;Si;;;41.8111;27;3027.4405;1955;2.2154;33;0;12
CATALUNYA;CATALUNYA;2020-06-17;2020-06-23;Si;;;55.7482;36;3662.3513;2365;2.3591;33;0;12
CATALUNYA;CATALUNYA;2020-06-16;2020-06-22;Si;;;55.7482;36;3868.3102;2498;2.3522;35;0;13
CATALUNYA;CATALUNYA;2020-06-15;2020-06-21;Si;;;58.8453;38;3950.3840;2551;2.3912;31;1;17
CATALUNYA;CATALUNYA;2020-06-14;2020-06-20;Si;;;66.5882;43;4007.6808;2588;2.7060;33;1;20
CATALUNYA;CATALUNYA;2020-06-13;2020-06-19;Si;;;66.5882;43;4052.5891;2617;2.6914;29;1;20
CATALUNYA;CATALUNYA;2020-06-12;2020-06-18;Si;;;88.2680;57;4568.2606;2950;3.3689;27;1;20
CATALUNYA;CATALUNYA;2020-06-11;2020-06-17;Si;;;77.4281;50;4670.4658;3016;2.8345;28;1;24
CATALUNYA;CATALUNYA;2020-06-10;2020-06-16;Si;;;80.5252;52;4856.2933;3136;2.9185;31;2;25
CATALUNYA;CATALUNYA;2020-06-09;2020-06-15;Si;;;82.0738;53;5252.7254;3392;3.1590;31;2;22
CATALUNYA;CATALUNYA;2020-06-08;2020-06-14;Si;;;111.4965;72;5542.3067;3579;3.4415;37;1;20
CATALUNYA;CATALUNYA;2020-06-07;2020-06-13;Si;;;117.6907;76;5655.3518;3652;3.5627;35;1;19
CATALUNYA;CATALUNYA;2020-06-06;2020-06-12;Si;;;120.7879;78;5852.0193;3779;3.6416;35;1;21
CATALUNYA;CATALUNYA;2020-06-05;2020-06-11;Si;;;116.1422;75;6132.3092;3960;3.3512;41;1;25
CATALUNYA;CATALUNYA;2020-06-04;2020-06-10;Si;;;147.1134;95;6617.0094;4273;3.3977;42;1;26
CATALUNYA;CATALUNYA;2020-06-03;2020-06-09;Si;;;137.8221;89;6634.0436;4284;3.2939;41;0;37
CATALUNYA;CATALUNYA;2020-06-02;2020-06-08;Si;;;150.2106;97;6335.1709;4091;3.1739;42;0;44
CATALUNYA;CATALUNYA;2020-06-01;2020-06-07;Si;;;126.9821;82;6076.5609;3924;2.9543;37;0;46
CATALUNYA;CATALUNYA;2020-05-31;2020-06-06;Si;;;117.6907;76;6417.2447;4144;2.4876;39;1;55
CATALUNYA;CATALUNYA;2020-05-30;2020-06-05;Si;;;140.9192;91;7101.7096;4586;2.6438;40;1;57
CATALUNYA;CATALUNYA;2020-05-29;2020-06-04;Si;;;173.4390;112;7389.7423;4772;3.1800;37;1;62
CATALUNYA;CATALUNYA;2020-05-28;2020-06-03;Si;;;178.0847;115;7964.2591;5143;3.4526;45;2;64
CATALUNYA;CATALUNYA;2020-05-27;2020-06-02;Si;;;188.9246;122;8187.2522;5287;3.4982;41;2;59
CATALUNYA;CATALUNYA;2020-05-26;2020-06-01;Si;;;202.8617;131;9248.0178;5972;3.5016;40;3;60
CATALUNYA;CATALUNYA;2020-05-25;2020-05-31;Si;;;258.6100;167;10386.2115;6707;3.6949;43;4;65
